Date,Max.Demand met during the day (MW)
2015-09-30,-264.0
2015-10-01,-51.0
2015-10-02,303.0
2015-10-03,-479.0
2015-10-04,504.0
2015-10-05,-265.0
2015-10-06,408.0
2015-10-07,-270.0
2015-10-08,108.0
2015-10-09,-274.0
2015-10-10,268.0
2015-10-11,-508.0
2015-10-12,347.0
2015-10-13,272.0
2015-10-14,-241.0
2015-10-15,-11.0
2015-10-16,-72.0
2015-10-17,20.0
2015-10-18,-142.0
2015-10-19,-14.0
2015-10-20,511.0
2015-10-21,-262.0
2015-10-22,-127.0
2015-10-23,-696.0
2015-10-24,1314.0
2015-10-25,-858.0
2015-10-26,257.0
2015-10-27,364.0
2015-10-28,-342.0
2015-10-29,-276.0
2015-10-30,387.0
2015-10-31,-31.0
2015-11-01,-146.0
2015-11-02,-77.0
2015-11-03,525.0
2015-11-04,-279.0
2015-11-05,-50.0
2015-11-06,-14.0
2015-11-07,45.0
2015-11-08,-283.0
2015-11-09,61.0
2015-11-10,442.0
2015-11-11,-318.0
2015-11-12,-304.0
2015-11-13,94.0
2015-11-14,622.0
2015-11-15,-216.0
2015-11-16,-300.0
2015-11-17,440.0
2015-11-18,-382.0
2015-11-19,222.0
2015-11-20,-57.0
2015-11-21,32.0
2015-11-22,-378.0
2015-11-23,280.0
2015-11-24,128.0
2015-11-25,-117.0
2015-11-26,-56.0
2015-11-27,171.0
2015-11-28,-151.0
2015-11-29,-111.0
2015-11-30,188.0
2015-12-01,94.0
2015-12-02,-155.0
2015-12-03,19.0
2015-12-04,-11.0
2015-12-05,180.0
2015-12-06,-424.0
2015-12-07,345.0
2015-12-08,-43.0
2015-12-09,-75.0
2015-12-10,132.0
2015-12-11,-155.0
2015-12-12,196.0
2015-12-13,-259.0
2015-12-14,145.0
2015-12-15,55.0
2015-12-16,-40.0
2015-12-17,1.0
2015-12-18,-16.0
2015-12-19,150.0
2015-12-20,-379.0
2015-12-21,268.0
2015-12-22,21.0
2015-12-23,-46.0
2015-12-24,67.0
2015-12-25,-120.0
2015-12-26,125.0
2015-12-27,-429.0
2015-12-28,327.0
2015-12-29,108.0
2015-12-30,-177.0
2015-12-31,7.0
2016-01-01,638.0
2016-01-02,-590.0
2016-01-03,0.0
2016-01-04,0.0
2016-01-05,0.0
2016-01-06,0.0
2016-01-07,0.0
2016-01-08,0.0
2016-01-09,0.0
2016-01-10,0.0
2016-01-11,0.0
2016-01-12,0.0
2016-01-13,0.0
2016-01-14,0.0
2016-01-15,0.0
2016-01-16,0.0
2016-01-17,0.0
2016-01-18,0.0
2016-01-19,0.0
2016-01-20,0.0
2016-01-21,0.0
2016-01-22,0.0
2016-01-23,0.0
2016-01-24,0.0
2016-01-25,0.0
2016-01-26,0.0
2016-01-27,0.0
2016-01-28,0.0
2016-01-29,0.0
